,Administrador,Usuario,mini juego,color presionado,dificultad,Juego,botón correcto,tiempo de interacción,número de interacción,auto push,tiempo de lección,tiempo de sesión
345,11,17,8,3,0,0,1,2.807408,1.0,0.0,0.0,0.0
346,11,17,8,1,0,0,1,3.616766,2.0,0.0,0.0,0.0
347,11,17,8,2,0,0,1,3.016741,3.0,0.0,0.0,0.0
348,11,17,8,0,0,0,1,2.799685,4.0,0.0,0.0,0.0
349,11,17,8,4,0,0,2,0.0,0.0,0.0,0.0,0.0
350,11,17,0,1,0,0,1,1.783914,1.0,0.0,0.0,0.0
351,11,17,0,0,0,0,1,1.983499,2.0,0.0,0.0,0.0
352,11,17,0,2,0,0,1,2.183372,3.0,0.0,0.0,0.0
353,11,17,0,1,0,0,1,1.64851,4.0,0.0,0.0,0.0
354,11,17,0,4,0,0,2,0.0,0.0,0.0,0.0,0.0
355,11,17,2,3,0,0,1,1.896473,1.0,0.0,0.0,0.0
356,11,17,2,2,0,0,1,1.884085,2.0,0.0,0.0,0.0
357,11,17,2,0,0,0,0,0.6999412,3.0,0.0,0.0,0.0
358,11,17,2,0,0,0,1,2.41766,4.0,0.0,0.0,0.0
359,11,17,2,1,0,0,1,0.5000599,5.0,0.0,0.0,0.0
360,11,17,2,4,0,0,2,0.0,0.0,0.0,0.0,0.0
361,11,17,3,3,0,0,0,1.300043,1.0,0.0,0.0,0.0
362,11,17,3,1,0,0,1,1.317529,2.0,0.0,0.0,0.0
363,11,17,3,3,0,0,1,0.9834234,3.0,0.0,0.0,0.0
364,11,17,3,0,0,0,1,1.550167,4.0,0.0,0.0,0.0
365,11,17,3,2,0,0,1,2.166744,5.0,0.0,0.0,0.0
366,11,17,3,4,0,0,2,0.0,0.0,0.0,0.0,0.0
367,11,17,1,1,0,0,1,2.200196,1.0,0.0,0.0,0.0
368,11,17,1,3,0,0,1,1.516714,2.0,0.0,0.0,0.0
369,11,17,1,2,0,0,1,4.566753,3.0,0.0,0.0,0.0
370,11,17,1,1,0,0,1,3.133505,4.0,0.0,0.0,0.0
371,11,17,1,4,0,0,2,0.0,0.0,0.0,0.0,0.0
372,11,17,0,1,1,0,1,2.047528,1.0,0.0,0.0,0.0
